strId              count           possiblyCount
58292            1            39233            
49343            12            672783            
48526            5            39232            
40612            11            39233            
29172            2            672784            
39468            2            39233            
48586            22            672783            
47800            3            672783            
48571            304            672783            
133536            1            39233            
48738            21            672783            
47796            15            672783            
119080            1            672784            
7696            14            39233            
38636            82            39233            
89804            2            672784            
48730            5            39232            
41028            59            672784            
127248            1            39232            
48268            9            672783            
80288            5            672784            
50908            149            39233            
46813            27            672783            
43680            1            672784            
26728            2            672784            
41080            65            39233            
46453            3            672783            
48378            94            672783            
58136            1            672784            
55536            38            672784            
45136            304            39233            
7800            16            672784            
48740            14            672783            
46073            1            672783            
31616            1            39233            
46650            81            672783            
48048            1713            672784            
8476            517            672784            
48012            2            672783            
22672            10            672784            
98696            2            672784            
47476            13            39233            
37752            140            672784            
76856            1993            672784            
47802            34            39232            
49192            1            39233            
48736            237            672783            
61776            16            672784            
40352            2293            672784            
46191            1            39232            
46669            1            672783            
53768            629            672784            
56004            3            39233            
53092            12            672784            
93028            1            672784            
8008            15            39233            
58188            2            672784            
79352            27            672784            
26            267            39234            
36764            376            672784            
48256            52            39233            
48048            180            39233            
29796            6            672784            
74984            32            39233            
48734            44            672783            
26312            27            672784            
35152            1            39233            
23556            1            672784            
132340            734            672784            
14664            37            39233            
11960            1            39233            
49296            2109            672784            
48376            25            39232            
2288            24            39233            
48412            1471            672784            
21424            276            672784            
48872            11            672783            
3484            63            39233            
69472            414            672784            
15756            7            39233            
48073            1            672783            
104            425            672784            
33            12469            672785            
47840            3            39233            
41184            5            39233            
48071            3            39232            
48673            15            39232            
46813            1            39232            
6604            19            672784            
77012            67            672784            
2964            64            39233            
53352            4            39233            
127244            39            39233            
89544            9            672784            
47996            195            672784            
74516            51            672784            
50336            2074            672784            
832            4            672784            
48621            2            39232            
85540            561            672784            
46202            4            39232            
50488            8            672783            
77376            83            672784            
48066            9            39232            
67392            15            39233            
22048            11            39233            
30            546            39234            
48522            78            672783            
48573            11            672783            
47996            12            39233            
119288            622            672784            
130208            4392            672784            
110500            12            672784            
50            6264            39234            
51948            3129            672784            
3432            5            39233            
50750            456            672783            
33384            2206            672784            
25168            52            39233            
35            1            39234            
115024            2            672784            
46202            29            672783            
67080            13            39233            
127086            1            39232            
42120            101            672784            
69472            19            39233            
22            1206            672785            
67184            35            672784            
54392            21            39233            
37180            6543            672784            
49288            7            672783            
47808            25            672783            
47801            55            672783            
87204            3            39233            
130832            555            39233            
46832            5            672783            
48824            1            672783            
41080            843            672784            
48266            25            672783            
21684            5            39233            
48582            2            39232            
79248            86            672784            
15704            33            672784            
133068            1            39233            
84968            2            39233            
13312            6            672784            
26832            8            672784            
21736            200            672784            
77116            2            39233            
48261            10            39232            
48270            16            672783            
64428            293            672784            
133744            4            39233            
67132            7            39233            
48532            175            672783            
4160            154            39233            
34164            28            672784            
45760            39            672784            
48638            23            39232            
61048            361            672784            
260            1355            672784            
74464            4            39233            
67288            1            672784            
61672            3            672784            
48727            1            672783            
77896            560            672784            
39468            12            672784            
40040            162            39233            
15808            2            672784            
37856            2            672784            
51064            173            672784            
49450            43            672783            
132704            1            39233            
66040            41            672784            
98072            1            672784            
74360            318            672784            
52676            21            39233            
47892            1094            672784            
55432            962            672784            
85436            12            672784            
468            2553            672784            
46201            37            672783            
39936            5129            672784            
27352            3            39233            
120120            1            672784            
30264            972            672784            
18772            15            672784            
48413            4            39232            
48821            2            672783            
79508            247            39233            
85488            48            672784            
48062            164            672783            
10452            5            672784            
59176            1438            672784            
16            3812            39234            
127245            1            39232            
47802            341            672783            
48984            13            672784            
49498            285            672783            
6604            1            39233            
54028            41            39233            
520            77            672784            
11232            6            39233            
66092            1            672784            
41132            40            39233            
87308            18            672784            
46130            74            672783            
48053            7            39232            
29276            1            672784            
77220            7            39233            
124592            22            39233            
49036            8            39233            
3432            160            672784            
109460            1            672784            
48422            121            672783            
46762            11            672783            
10556            14            39233            
4160            2277            672784            
38168            12            39233            
46488            41            672784            
45396            3800            672784            
48587            11            39232            
45708            162            672784            
22308            165            672784            
133432            7            39233            
58864            3            39233            
66976            292            672784            
35828            4            672784            
67340            3            39233            
131768            48            672784            
13988            2389            672784            
14300            191            39233            
46654            20            672783            
30264            73            39233            
36972            1            39233            
46084            68            672783            
46195            188            672783            
50128            7            39233            
54704            50            39233            
19656            8            39233            
11            338            39234            
48073            1            39232            
79196            24            39233            
13000            7            39233            
134420            1            39233            
48725            7            672783            
130780            7672            672784            
47580            11            672784            
34996            67            39233            
11128            76            39233            
82992            52            672784            
33436            1            672784            
51324            112            39233            
86060            3            39233            
76648            35            39233            
5980            22            39233            
27820            35            672784            
76856            140            39233            
57304            1            672784            
108940            1            672784            
50490            228            672783            
24128            1099            672784            
14144            601            672784            
75608            331            672784            
22932            13            39233            
6084            46            39233            
111332            6            672784            
50746            254            672783            
46766            1            672783            
13832            99            39233            
48545            2            39232            
46125            1            39232            
51480            75            39233            
63596            76            672784            
131612            1            39233            
49499            1            39232            
86580            2            39233            
48517            3            39232            
46757            2            672783            
29328            107            672784            
38220            1689            672784            
41444            5            39233            
130936            9854            672784            
50956            1            39232            
46598            3            39232            
2912            1            39233            
53872            8            672784            
46193            16            672783            
77636            217            672784            
18980            8            672784            
50958            472            672783            
47821            11            672783            
85592            15            39233            
47950            2            672783            
75556            11            39233            
60632            156            672784            
86216            2            672784            
1352            40            39233            
51376            43            39233            
21164            5            39233            
36036            15            672784            
121940            910            39233            
66144            3            672784            
40560            4280            672784            
14976            4            39233            
128648            2            672784            
46808            23            672783            
41184            79            672784            
47898            161            672783            
43940            125            672784            
11596            170            672784            
156            101            39233            
80340            30            672784            
65208            124            672784            
48480            23            39232            
46185            9            672783            
49            415            672785            
50492            18            672784            
50745            28            672783            
46748            5            39233            
114088            1            39233            
14196            4330            672784            
46603            214            672783            
22880            72            672784            
51266            20            39232            
23920            1            39233            
