strId              count           possiblyCount
    222754        43    114501
    201460        34    114501
    136703        14   2442017
    140212         3    114500
    140304         1   2442020
    135675         7    114500
        51        11   2442021
    125644        13    114501
    133344       101   2442017
      3264        55    114501
    213260         2   2442020
     17340       253    114501
    221744         5    114501
    376474      2052   2442020
    122764        44    114501
    400260      6302   2442020
    132066        13    114500
    145524         3    114501
    103340       101    114501
    131775         1   2442017
     60344        26    114501
     73004       375   2442020
     57504        13    114501
    403224         1   2442020
      6400        20    114501
    124720        37   2442020
    103744       150    114501
    150470        13   2442020
    377164      7075   2442020
    377250      1240    114501
    133004        23   2442017
     60260       213   2442020
    143072        26    114500
    133250         1   2442017
    136721         3    114500
    133330         5    114500
    102734        11    114501
      5370         3    114501
     65010        32   2442020
    140446         1   2442017
    221254      1252   2442020
    136375         1    114500
    130354       262   2442020
      7410        36   2442020
    176110        15   2442020
    137274       714   2442020
    377014     15602   2442020
    131731         1   2442017
    340670         1   2442020
    221424         3    114501
    124550       415    114501
    127430         4   2442020
    107720         3    114501
    125730       567   2442020
    103254         1   2442020
    145120        14   2442020
    132570         4   2442017
     75514        30    114501
    154274         2    114501
    264450         1    114501
     33010      2672   2442020
    145610        32    114501
      7240        42    114501
    136711        17   2442017
    136631         1    114500
    144104        20   2442017
    104520        60   2442020
    131450        45    114501
    144600        16   2442020
    401204         6   2442020
     77704         1    114501
    133064        26    114501
        27       425    114502
    105040         3    114501
     32150        43    114501
    150640      1172   2442020
        40       264    114502
    136545         4    114500
     66170         2    114501
    247534      1053   2442020
     77130       311    114501
    246204        32    114501
    133005        10   2442017
    132375         5   2442017
    246610        11   2442020
    117564       444    114501
    400750       164    114501
    142634         2   2442017
    136717         1    114500
    232704       122    114501
     65650       300   2442020
    376324      4610   2442020
    110560         7   2442020
     25570      3316   2442020
    142004         3   2442020
    135300         2    114500
      3200       761   2442020
    132140      3641   2442020
    401354        27   2442020
    113674      4131   2442020
    210634        52   2442020
     31544         1   2442020
    144422         1   2442017
    154124        32   2442020
     61270         7    114501
    113440      1176   2442020
    132552       105   2442017
    115310         1    114501
     22050         2    114501
      6314        12    114501
     53700         2   2442020
    132552         6    114500
    343634       444    114501
     75664        15   2442020
    377014       676    114501
    171210        10    114501
     52604         2    114501
     24730        26   2442020
    332760         2   2442020
    135701         1   2442017
    140534         1    114500
    120660        16   2442020
     13300      4056   2442020
    132246         1   2442017
    250054       131   2442020
      6400       743   2442020
    144507         1    114500
     70700       241    114501
         1      4551    114502
        57       544   2442021
     34510       635   2442020
    137041       152   2442017
    270574        10   2442020
    144103         4   2442017
    132102        11   2442017
    132031         2   2442017
    115310        17   2442020
     70210       565   2442020
    162760       142   2442020
        22      2473    114502
    247620        60    114501
    222520         2   2442020
    136722        13   2442017
    133000        64    114501
    117650        42   2442020
     71304         2   2442020
     21040         5    114501
    100054        55    114501
    235074         6   2442020
    377250     22177   2442020
    136700         2    114500
    147224        66   2442020
    143334      4137   2442020
      7730        10    114501
    377100        73    114501
    133023         1    114500
     50650        10   2442020
    243240        10    114501
     33650      4224   2442020
     66424         1   2442020
    174730       214    114501
    135254        51    114501
    226240        10   2442020
    225400       333   2442020
    343634     10632   2442020
    150554        72   2442020
     66340         3    114501
     17660        60   2442020
    214354       216   2442020
    137210       633    114501
    350300        47   2442020
    144430      2140   2442020
    131450       634   2442020
    144100        65   2442017
    206614       404   2442020
    132014        21    114500
    402300        62   2442020
         2     22126   2442021
     51574       737   2442020
     47320         1   2442020
     25100         1    114501
    331750         1   2442020
    136461       450   2442017
     57654      2044   2442020
        15      2625    114502
      6144       726   2442020
    157644         1   2442020
     26110         2    114501
    102650        52    114501
